,path,scriptID,transcription,field1,field2,field3,field4,field5,field6,field7
1550,-,Script30_00052,"Hey Jay, resume series podcast",11474,-,-,-,-,-,-
1551,-,Script30_00052,"Hey Jay, Play the next podcast.",11475,-,-,-,-,-,-
1552,-,Script30_00052,"Hey Jay, Play episode of Stuff You Should Know in queue.",11477,-,-,-,-,-,-
1553,-,Script30_00052,"Hey Jay, Play a pocast",11478,-,-,-,-,-,-
1554,-,Script30_00052,"Hey Jay, Play the next episode of Radiolab.",11479,-,-,-,-,-,-
1555,-,Script30_00052,"Hey Jay, whats the time in Sydney now",1148,-,-,-,-,-,-
1556,-,Script30_00052,"Hey Jay, Skip forward to the next episode of this podcast.",11480,-,-,-,-,-,-
1557,-,Script30_00052,"Hey Jay, Play the next episode of this series.",11481,-,-,-,-,-,-
1558,-,Script30_00052,"Hey Jay, Play the podcast named Ringcast",11482,-,-,-,-,-,-
1559,-,Script30_00052,"Hey Jay, Start playing Ringcast",11483,-,-,-,-,-,-
1560,-,Script30_00053,"Hey Jay, Play previous episode.",11484,-,-,-,-,-,-
1561,-,Script30_00053,"Hey Jay, play my play list",11485,-,-,-,-,-,-
1562,-,Script30_00053,"Hey Jay, play musician play list",11486,-,-,-,-,-,-
1563,-,Script30_00053,"Hey Jay, play classic songs",11487,-,-,-,-,-,-
1564,-,Script30_00053,"Hey Jay, Please play NPR Podcast",11488,-,-,-,-,-,-
1565,-,Script30_00053,"Hey Jay, play next on podcast.",11489,-,-,-,-,-,-
1566,-,Script30_00053,"Hey Jay, play the next show on podcast.",11490,-,-,-,-,-,-
1567,-,Script30_00053,"Hey Jay, play next expisode on podcast.",11491,-,-,-,-,-,-
1568,-,Script30_00053,"Hey Jay, play my country favorites playlist for me",11492,-,-,-,-,-,-
1569,-,Script30_00053,"Hey Jay, load my playlist titled country favorites and play it",11493,-,-,-,-,-,-
1570,-,Script30_00053,"Hey Jay, open the country favorites playlist and play it on shuffle",11494,-,-,-,-,-,-
1571,-,Script30_00053,"Hey Jay, Play Shane Dawson podcast",11495,-,-,-,-,-,-
1572,-,Script30_00053,"Hey Jay, Play good mythical morning podcast",11496,-,-,-,-,-,-
1573,-,Script30_00053,"Hey Jay, Play rooster teeth pod cast",11497,-,-,-,-,-,-
1574,-,Script30_00053,"Hey Jay, ... podcast next episode",11498,-,-,-,-,-,-
1575,-,Script30_00053,"Hey Jay, Set the volume to low.",115,-,-,-,-,-,-
1576,-,Script30_00053,"Hey Jay, What is the current time in Lagos, Nigeria.",1150,-,-,-,-,-,-
1577,-,Script30_00053,"Hey Jay, back one episode",11500,-,-,-,-,-,-
1578,-,Script30_00053,"Hey Jay, move to next episode",11501,-,-,-,-,-,-
1579,-,Script30_00053,"Hey Jay, next button",11502,-,-,-,-,-,-
1580,-,Script30_00053,"Hey Jay, rewind button",11503,-,-,-,-,-,-
1581,-,Script30_00053,"Hey Jay, Play the podcast entitled episode 1 Making a Murderer.",11504,-,-,-,-,-,-
1582,-,Script30_00053,"Hey Jay, Replay my last played podcast.",11505,-,-,-,-,-,-
1583,-,Script30_00053,"Hey Jay, Open podcast player",11507,-,-,-,-,-,-
1584,-,Script30_00053,"Hey Jay, Go to the last episode.",11508,-,-,-,-,-,-
1585,-,Script30_00053,"Hey Jay, Show me the last episode.",11509,-,-,-,-,-,-
1586,-,Script30_00053,"Hey Jay, start vacuum cleaner",1151,-,-,-,-,-,-
1587,-,Script30_00053,"Hey Jay, Please play next episode of podcast.",11510,-,-,-,-,-,-
1588,-,Script30_00053,"Hey Jay, Play next episode of podcast please.",11511,-,-,-,-,-,-
1589,-,Script30_00053,"Hey Jay, Will you please play the next episode of podcast.",11512,-,-,-,-,-,-
1590,-,Script30_00054,"Hey Jay, Play Heavyweight podcast",11513,-,-,-,-,-,-
1591,-,Script30_00054,"Hey Jay, can we listen to Reply All podcast",11514,-,-,-,-,-,-
1592,-,Script30_00054,"Hey Jay, lets hear The United States of Anxiety podcast",11515,-,-,-,-,-,-
1593,-,Script30_00054,"Hey Jay, lets hear The United States of Anxiety podcast",11516,-,-,-,-,-,-
1594,-,Script30_00054,"Hey Jay, Go to the next episoade of The United States of Anxiety podcast",11517,-,-,-,-,-,-
1595,-,Script30_00054,"Hey Jay, Go to the next episoade of The United States of Anxiety podcast",11518,-,-,-,-,-,-
1596,-,Script30_00054,"Hey Jay, go back to the podcast before",11519,-,-,-,-,-,-
1597,-,Script30_00054,"Hey Jay, use vacuum cleaner in the hall",1152,-,-,-,-,-,-
1598,-,Script30_00054,"Hey Jay, go back to the podcast before",11520,-,-,-,-,-,-
1599,-,Script30_00054,"Hey Jay, next episoade in the podcast please",11521,-,-,-,-,-,-
1600,-,Script30_00054,"Hey Jay, next episoade in the podcast please",11522,-,-,-,-,-,-
1601,-,Script30_00054,"Hey Jay, I am ready to hear the next episode of Podcast",11523,-,-,-,-,-,-
1602,-,Script30_00054,"Hey Jay, Please continue with the next podcast episode",11524,-,-,-,-,-,-
1603,-,Script30_00054,"Hey Jay, I want to see the next Podcast available.",11525,-,-,-,-,-,-
1604,-,Script30_00054,"Hey Jay, Jump to 8:20",11526,-,-,-,-,-,-
1605,-,Script30_00054,"Hey Jay, Hey play my favourite podcast from list",11529,-,-,-,-,-,-
1606,-,Script30_00054,"Hey Jay, remove dust with vacuum cleaner",1153,-,-,-,-,-,-
1607,-,Script30_00054,"Hey Jay, play the podcast of barack obama saved in device",11530,-,-,-,-,-,-
1608,-,Script30_00054,"Hey Jay, Plaease play forward episode in quantico.",11531,-,-,-,-,-,-
1609,-,Script30_00054,"Hey Jay, Play the next episode of Drunks and Dragons, please.",11532,-,-,-,-,-,-
1610,-,Script30_00054,"Hey Jay, Could you skip ahead to the next episode?",11533,-,-,-,-,-,-
1611,-,Script30_00054,"Hey Jay, Start next episode playing",11534,-,-,-,-,-,-
1612,-,Script30_00054,"Hey Jay, Play podcast a.",11535,-,-,-,-,-,-
1613,-,Script30_00054,"Hey Jay, Add podcast favourites to playlist and start.",11536,-,-,-,-,-,-
1614,-,Script30_00054,"Hey Jay, please play the next episode of aib",11537,-,-,-,-,-,-
1615,-,Script30_00054,"Hey Jay, can i have podcast of tvf",11538,-,-,-,-,-,-
1616,-,Script30_00054,"Hey Jay, start next podcast",11539,-,-,-,-,-,-
1617,-,Script30_00054,"Hey Jay, Shut off the lights in the kitchen",1154,-,-,-,-,-,-
1618,-,Script30_00054,"Hey Jay, following podcast episode start",11540,-,-,-,-,-,-
1619,-,Script30_00054,"Hey Jay, next episode of NYT podcast",11541,-,-,-,-,-,-
1620,-,Script30_00055,"Hey Jay, forward episode of NYT podcast",11542,-,-,-,-,-,-
1621,-,Script30_00055,"Hey Jay, Search Order of the Green Hand podcast number 300",11544,-,-,-,-,-,-
1622,-,Script30_00055,"Hey Jay, Play all Order of the Green hand from previous week",11546,-,-,-,-,-,-
1623,-,Script30_00055,"Hey Jay, List and play all Theory podcasts under 10 min",11547,-,-,-,-,-,-
1624,-,Script30_00055,"Hey Jay, Network podcast",11548,-,-,-,-,-,-
1625,-,Script30_00055,"Hey Jay, NPR TED Talks",11549,-,-,-,-,-,-
1626,-,Script30_00055,"Hey Jay, Turn off the lights in the bedroom",1155,-,-,-,-,-,-
1627,-,Script30_00055,"Hey Jay, Play favorites listed in podcasts starting with first one.",11550,-,-,-,-,-,-
1628,-,Script30_00055,"Hey Jay, Play the last podcast I listened to.",11551,-,-,-,-,-,-
1629,-,Script30_00055,"Hey Jay, Much more clearer and subject oriented",11552,-,-,-,-,-,-
1630,-,Script30_00055,"Hey Jay, Short and simple",11553,-,-,-,-,-,-
1631,-,Script30_00055,"Hey Jay, I want you to play the podcast",11554,-,-,-,-,-,-
1632,-,Script30_00055,"Hey Jay, please play the Mark Levin podcast",11555,-,-,-,-,-,-
1633,-,Script30_00055,"Hey Jay, I would like to hear some Levin",11556,-,-,-,-,-,-
1634,-,Script30_00055,"Hey Jay, Play the most current episode of Levin",11557,-,-,-,-,-,-
1635,-,Script30_00055,"Hey Jay, Start podcast from my favorites list",11558,-,-,-,-,-,-
1636,-,Script30_00055,"Hey Jay, Play podcast favorites.",11559,-,-,-,-,-,-
1637,-,Script30_00055,"Hey Jay, Latest New on international women's day",1156,-,-,-,-,-,-
1638,-,Script30_00055,"Hey Jay, Next podcast.",11560,-,-,-,-,-,-
1639,-,Script30_00055,"Hey Jay, Play this podcast",11561,-,-,-,-,-,-
1640,-,Script30_00055,"Hey Jay, I want to hear this podcast",11562,-,-,-,-,-,-
1641,-,Script30_00055,"Hey Jay, What can I do in Berlin?",11563,-,-,-,-,-,-
1642,-,Script30_00055,"Hey Jay, Tell me about things to do in London",11564,-,-,-,-,-,-
1643,-,Script30_00055,"Hey Jay, Could you suggest some fun in New York?",11565,-,-,-,-,-,-
1644,-,Script30_00055,"Hey Jay, what pubs are close",11566,-,-,-,-,-,-
1645,-,Script30_00055,"Hey Jay, what's the best chicken place near me",11567,-,-,-,-,-,-
1646,-,Script30_00055,"Hey Jay, wheres the closest sainsbury's",11568,-,-,-,-,-,-
1647,-,Script30_00055,"Hey Jay, tell me chinese restaurants in the area",11569,-,-,-,-,-,-
1648,-,Script30_00055,"Hey Jay, top news on international women's day",1157,-,-,-,-,-,-
1649,-,Script30_00055,"Hey Jay, whats happening around my town",11570,-,-,-,-,-,-
1650,-,Script30_00056,"Hey Jay, what bands are playing close by",11571,-,-,-,-,-,-
1651,-,Script30_00056,"Hey Jay, what events are planned in my area?",11572,-,-,-,-,-,-
1652,-,Script30_00056,"Hey Jay, What's around tonight?",11573,-,-,-,-,-,-
1653,-,Script30_00056,"Hey Jay, Is there any event around?",11574,-,-,-,-,-,-
1654,-,Script30_00056,"Hey Jay, Tell me interesting events around.",11575,-,-,-,-,-,-
1655,-,Script30_00056,"Hey Jay, Tell me about the events near me",11576,-,-,-,-,-,-
1656,-,Script30_00056,"Hey Jay, Is there any event close by",11577,-,-,-,-,-,-
1657,-,Script30_00056,"Hey Jay, Find events near by",11578,-,-,-,-,-,-
1658,-,Script30_00056,"Hey Jay, Are there any interesting events around this area?",11579,-,-,-,-,-,-
1659,-,Script30_00056,"Hey Jay, crack a joke",1158,-,-,-,-,-,-
1660,-,Script30_00056,"Hey Jay, is there any grocery nearby?",11580,-,-,-,-,-,-
1661,-,Script30_00056,"Hey Jay, where is a petrol station in 0.5 mile radius?",11581,-,-,-,-,-,-
1662,-,Script30_00056,"Hey Jay, is there anything happening on jazz scene around Edinburgh?",11582,-,-,-,-,-,-
1663,-,Script30_00056,"Hey Jay, what new movies are played in cinemas this week?",11583,-,-,-,-,-,-
1664,-,Script30_00056,"Hey Jay, when is the next blues concert in Liverpool?",11584,-,-,-,-,-,-
1665,-,Script30_00056,"Hey Jay, Any cultural events in california?",11585,-,-,-,-,-,-
1666,-,Script30_00056,"Hey Jay, What are the events conducted in NY?",11586,-,-,-,-,-,-
1667,-,Script30_00056,"Hey Jay, Any specific event in Washington ?",11587,-,-,-,-,-,-
1668,-,Script30_00056,"Hey Jay, mobile shop",11588,-,-,-,-,-,-
1669,-,Script30_00056,"Hey Jay, wine shop",11589,-,-,-,-,-,-
1670,-,Script30_00056,"Hey Jay, tell funny things",1159,-,-,-,-,-,-
1671,-,Script30_00056,"Hey Jay, Recommend a movie which is released last Friday",11590,-,-,-,-,-,-
1672,-,Script30_00056,"Hey Jay, Recommend a movie with Justin Bieber.",11591,-,-,-,-,-,-
1673,-,Script30_00056,"Hey Jay, how much",11592,-,-,-,-,-,-
1674,-,Script30_00056,"Hey Jay, how much btaxes",11593,-,-,-,-,-,-
1675,-,Script30_00056,"Hey Jay, how much rate will be calculated",11594,-,-,-,-,-,-
1676,-,Script30_00056,"Hey Jay, Where is the event venue?",11595,-,-,-,-,-,-
1677,-,Script30_00056,"Hey Jay, Are there dog shows going on near New York city?",11596,-,-,-,-,-,-
1678,-,Script30_00056,"Hey Jay, Can you recommend some dog show events going on in our city?",11597,-,-,-,-,-,-
1679,-,Script30_00056,"Hey Jay, Please let me know the dog show events going on in my home town.",11598,-,-,-,-,-,-
1680,-,Script30_00057,"Hey Jay, can you tell me what kind of show can I go tonight in Miami?",11599,-,-,-,-,-,-
1681,-,Script30_00057,"Hey Jay, whats playing?",116,-,-,-,-,-,-
1682,-,Script30_00057,"Hey Jay, How cold will it get each night this week?",1160,-,-,-,-,-,-
1683,-,Script30_00057,"Hey Jay, what movie can I watch tonight on the theater here in Boston?",11600,-,-,-,-,-,-
1684,-,Script30_00057,"Hey Jay, is there some play can I go tonight in the city?",11601,-,-,-,-,-,-
1685,-,Script30_00057,"Hey Jay, What are the best Italian restaurants in Los Angeles?",11602,-,-,-,-,-,-
1686,-,Script30_00057,"Hey Jay, Where can I find a good taco truck in LA?",11603,-,-,-,-,-,-
1687,-,Script30_00057,"Hey Jay, What is the best sports bar with vegetarian options in LA?",11605,-,-,-,-,-,-
1688,-,Script30_00057,"Hey Jay, display nearby places",11606,-,-,-,-,-,-
1689,-,Script30_00057,"Hey Jay, give the list of theaters in the vicinity",11607,-,-,-,-,-,-
1690,-,Script30_00057,"Hey Jay, where is the nearest pub in the city?",11608,-,-,-,-,-,-
1691,-,Script30_00057,"Hey Jay, what is the latest action movie running in theaters",11609,-,-,-,-,-,-
1692,-,Script30_00057,"Hey Jay, please set the equalizer in the party mode.",1161,-,-,-,-,-,-
1693,-,Script30_00057,"Hey Jay, give me the list of circus shows going on in the city right now",11610,-,-,-,-,-,-
1694,-,Script30_00057,"Hey Jay, what concerts are due nearby?",11611,-,-,-,-,-,-
1695,-,Script30_00057,"Hey Jay, what gun shows are in tulsa?",11612,-,-,-,-,-,-
1696,-,Script30_00057,"Hey Jay, what baseball games are scheduled for this week in tulsa?",11613,-,-,-,-,-,-
1697,-,Script30_00057,"Hey Jay, list college sports for tomorrow in tulsa",11614,-,-,-,-,-,-
1698,-,Script30_00057,"Hey Jay, What movies are being shown at the Regal Cinema?",11615,-,-,-,-,-,-
1699,-,Script30_00057,"Hey Jay, Are there any events going on downtown tonight?",11616,-,-,-,-,-,-
1700,-,Script30_00057,"Hey Jay, What exhibits or shows are scheduled at the Metropolitan Theater?",11617,-,-,-,-,-,-
1701,-,Script30_00057,"Hey Jay, get me a local restaurant.",11618,-,-,-,-,-,-
1702,-,Script30_00057,"Hey Jay, what's close by for dinner?",11619,-,-,-,-,-,-
1703,-,Script30_00057,"Hey Jay, please play all the songs in high volume and make adjustments to pop music mode.",1162,-,-,-,-,-,-
1704,-,Script30_00057,"Hey Jay, what's close by for dinner?",11620,-,-,-,-,-,-
1705,-,Script30_00057,"Hey Jay, what events are happening near me?",11621,-,-,-,-,-,-
1706,-,Script30_00057,"Hey Jay, search local events in zip code 12121.",11623,-,-,-,-,-,-
1707,-,Script30_00057,"Hey Jay, Where should I go for Mexican food in my area?",11624,-,-,-,-,-,-
1708,-,Script30_00057,"Hey Jay, Where is the best mechanic in Eagle Point?",11626,-,-,-,-,-,-
1709,-,Script30_00057,"Hey Jay, Is there a sports bar near Kansas City Plaza area?",11627,-,-,-,-,-,-
1710,-,Script30_00058,"Hey Jay, Where is the pharmacy in Leavenworth?",11628,-,-,-,-,-,-
1711,-,Script30_00058,"Hey Jay, is there a well rated pizza place between fourteenth and eighteenth streets?",11629,-,-,-,-,-,-
1712,-,Script30_00058,"Hey Jay, Play all songs by Martina McBride.",1163,-,-,-,-,-,-
1713,-,Script30_00058,"Hey Jay, is there a well rated pizza place between fourteenth and eighteenth streets?",11630,-,-,-,-,-,-
1714,-,Script30_00058,"Hey Jay, I need some sushi, what's closest?",11631,-,-,-,-,-,-
1715,-,Script30_00058,"Hey Jay, Please tell me where I can get a drink nearby after midnight.",11632,-,-,-,-,-,-
1716,-,Script30_00058,"Hey Jay, What movies are showing in cinema today",11633,-,-,-,-,-,-
1717,-,Script30_00058,"Hey Jay, What movie should I watch today",11634,-,-,-,-,-,-
1718,-,Script30_00058,"Hey Jay, what time will a movie be shown tomorrow",11635,-,-,-,-,-,-
1719,-,Script30_00058,"Hey Jay, what movies are going around me?",11636,-,-,-,-,-,-
1720,-,Script30_00058,"Hey Jay, tell me the movie with best IMDB ratings going on in theatres near me",11637,-,-,-,-,-,-
1721,-,Script30_00058,"Hey Jay, Are there any interesting even going on around my location?",11638,-,-,-,-,-,-
1722,-,Script30_00058,"Hey Jay, What events are going on around my place?",11639,-,-,-,-,-,-
1723,-,Script30_00058,"Hey Jay, Play I walk the line by Johnny Cash.",1164,-,-,-,-,-,-
1724,-,Script30_00058,"Hey Jay, Is there any carnival taking place in our area",11640,-,-,-,-,-,-
1725,-,Script30_00058,"Hey Jay, What is happening around here?",11641,-,-,-,-,-,-
1726,-,Script30_00058,"Hey Jay, What is there to do here?",11642,-,-,-,-,-,-
1727,-,Script30_00058,"Hey Jay, What events are happening soon?",11643,-,-,-,-,-,-
1728,-,Script30_00058,"Hey Jay, Show me events in Sacramento",11644,-,-,-,-,-,-
1729,-,Script30_00058,"Hey Jay, What's going on tonight in Sacramento",11645,-,-,-,-,-,-
1730,-,Script30_00058,"Hey Jay, Show me concerts in Sacramento",11646,-,-,-,-,-,-
1731,-,Script30_00058,"Hey Jay, What are the events taking place in New york today",11647,-,-,-,-,-,-
1732,-,Script30_00058,"Hey Jay, Is there any concerts taking place in new York today",11648,-,-,-,-,-,-
1733,-,Script30_00058,"Hey Jay, Is there any carnival in our place today",11649,-,-,-,-,-,-
1734,-,Script30_00058,"Hey Jay, Do I have any music by Lady Antebellum?",1165,-,-,-,-,-,-
1735,-,Script30_00058,"Hey Jay, Both young drivers and provisional drivers crash more often than other drivers because they have not yet had the wide range of experiences they need to drive safely by themselves. Research has shown that driving experience is a major factor in reducing road crashes and that the safest time for young drivers is when they are driving under supervision while learning.",11650,-,-,-,-,-,-
1736,-,Script30_00058,"Hey Jay, Let's see whats around, PDA.",11651,-,-,-,-,-,-
1737,-,Script30_00058,"Hey Jay, show me shops PDA.",11652,-,-,-,-,-,-
1738,-,Script30_00058,"Hey Jay, whats around, PDA.",11653,-,-,-,-,-,-
1739,-,Script30_00058,"Hey Jay, Search for nearby Chinese restaurants",11654,-,-,-,-,-,-
1740,-,Script30_00059,"Hey Jay, What are the Vietnamese restaurants in the area",11655,-,-,-,-,-,-
1741,-,Script30_00059,"Hey Jay, Where is the nearest smoke shop",11656,-,-,-,-,-,-
1742,-,Script30_00059,"Hey Jay, What are the showtimes of Logan",11657,-,-,-,-,-,-
1743,-,Script30_00059,"Hey Jay, Where is the food festival tonight",11658,-,-,-,-,-,-
1744,-,Script30_00059,"Hey Jay, tell me a nice Chinese Restuarant",11659,-,-,-,-,-,-
1745,-,Script30_00059,"Hey Jay, I'd like an espresso.",1166,-,-,-,-,-,-
1746,-,Script30_00059,"Hey Jay, provide me with the list of great restaurants in A",11660,-,-,-,-,-,-
1747,-,Script30_00059,"Hey Jay, can you find a nice restaurant downtown?",11661,-,-,-,-,-,-
1748,-,Script30_00059,"Hey Jay, can you find a nice restaurant downtown?",11662,-,-,-,-,-,-
1749,-,Script30_00059,"Hey Jay, I'm looking for a bar, do you know a good one?",11663,-,-,-,-,-,-
1750,-,Script30_00059,"Hey Jay, I'm looking for a bar, do you know a good one?",11664,-,-,-,-,-,-
1751,-,Script30_00059,"Hey Jay, I'm looking for some dress shows, can you find clothing stores within 1 mile",11665,-,-,-,-,-,-
1752,-,Script30_00059,"Hey Jay, I'm looking for some dress shows, can you find clothing stores within 1 mile",11666,-,-,-,-,-,-
1753,-,Script30_00059,"Hey Jay, What's around me?",11667,-,-,-,-,-,-
1754,-,Script30_00059,"Hey Jay, What's up in the nieghbourhood?",11668,-,-,-,-,-,-
1755,-,Script30_00059,"Hey Jay, What's interesting around here?",11669,-,-,-,-,-,-
1756,-,Script30_00059,"Hey Jay, I'd like an espresso.",1167,-,-,-,-,-,-
1757,-,Script30_00059,"Hey Jay, what movie are playing  near me?",11670,-,-,-,-,-,-
1758,-,Script30_00059,"Hey Jay, Tell me movies playing in Oceanside tonight.",11671,-,-,-,-,-,-
1759,-,Script30_00059,"Hey Jay, Movie times tonight.",11672,-,-,-,-,-,-
1760,-,Script30_00059,"Hey Jay, Find Restaurants within 100 miles",11673,-,-,-,-,-,-
1761,-,Script30_00059,"Hey Jay, List shops in Douglasville GA",11674,-,-,-,-,-,-
1762,-,Script30_00059,"Hey Jay, Where is the Closest Restaurant",11675,-,-,-,-,-,-
1763,-,Script30_00059,"Hey Jay, locate me the amazon restaurants",11676,-,-,-,-,-,-
1764,-,Script30_00059,"Hey Jay, locate me the amazon restaurants",11677,-,-,-,-,-,-
1765,-,Script30_00059,"Hey Jay, I would like to know the best rating pubs in the local area",11678,-,-,-,-,-,-
1766,-,Script30_00059,"Hey Jay, I want to know the best super market in this local area",11679,-,-,-,-,-,-
1767,-,Script30_00059,"Hey Jay, can I please have a cafe Americano?",1168,-,-,-,-,-,-
1768,-,Script30_00059,"Hey Jay, Please show me best run program in Jodhpur",11680,-,-,-,-,-,-
1769,-,Script30_00059,"Hey Jay, Please show me marathon nearby me",11681,-,-,-,-,-,-
1770,-,Script30_00060,"Hey Jay, show me where I can find a hamburger",11682,-,-,-,-,-,-
1771,-,Script30_00060,"Hey Jay, show me where I can find a hamburger",11683,-,-,-,-,-,-
1772,-,Script30_00060,"Hey Jay, I would like to know the events happening around here",11684,-,-,-,-,-,-
1773,-,Script30_00060,"Hey Jay, I would be happy if you update me the events going on our area",11685,-,-,-,-,-,-
1774,-,Script30_00060,"Hey Jay, Please update me with the list of events happening in my area",11686,-,-,-,-,-,-
1775,-,Script30_00060,"Hey Jay, Will the fast food shop at the corner open today?",11687,-,-,-,-,-,-
1776,-,Script30_00060,"Hey Jay, show me where the nearest restaurant is",11688,-,-,-,-,-,-
1777,-,Script30_00060,"Hey Jay, show me where the nearest restaurant is",11689,-,-,-,-,-,-
1778,-,Script30_00060,"Hey Jay, pinpoint me the location of the shop",11690,-,-,-,-,-,-
1779,-,Script30_00060,"Hey Jay, pinpoint me the location of the shop",11691,-,-,-,-,-,-
1780,-,Script30_00060,"Hey Jay, guide me to the restaurant",11692,-,-,-,-,-,-
1781,-,Script30_00060,"Hey Jay, what new movies available today?",11693,-,-,-,-,-,-
1782,-,Script30_00060,"Hey Jay, Any good movies?",11694,-,-,-,-,-,-
1783,-,Script30_00060,"Hey Jay, Do you have any suggestion? Action movies?",11695,-,-,-,-,-,-
1784,-,Script30_00060,"Hey Jay, What movies is out there in the local cinema?",11696,-,-,-,-,-,-
1785,-,Script30_00060,"Hey Jay, When is the yearly cultural event coming up?",11697,-,-,-,-,-,-
1786,-,Script30_00060,"Hey Jay, Which teams are playing this weekend?",11698,-,-,-,-,-,-
1787,-,Script30_00060,"Hey Jay, Show me some food court nearest to my location",11699,-,-,-,-,-,-
